brand,ean,image_url,name,original_price,product_category,product_page_url,sale_price,sku,stock
Simple Paddle,3700998966483,https://e-leclerc.scene7.com/is/image/gtinternet/3700998966483_2;https://e-leclerc.scene7.com/is/image/gtinternet/3700998966483_1;https://e-leclerc.scene7.com/is/image/gtinternet/3700998966483_3;https://e-leclerc.scene7.com/is/image/gtinternet/3700998966483_4;https://e-leclerc.scene7.com/is/image/gtinternet/3700998966483_5,Accessoire De Stand UP Paddle Leash Spirale Noir 10' / 305 cm,3490,materiel-d-equitation,https://www.e.leclerc//fp/accessoire-de-stand-up-paddle-leash-spirale-noir-10-305-cm-3700998966483,3389,3700998966483,True
X-paddleboards,7421094522637,https://e-leclerc.scene7.com/is/image/gtinternet/7421087557929_2;https://e-leclerc.scene7.com/is/image/gtinternet/7421094522637_1;https://e-leclerc.scene7.com/is/image/gtinternet/7421094522637_2;https://e-leclerc.scene7.com/is/image/gtinternet/7421087557929_4;https://e-leclerc.scene7.com/is/image/gtinternet/7421087557929_5,Paddle gonflable X-Fun option kayak pack complet 320x82x15cm,51900,materiel-d-equitation,https://www.e.leclerc//fp/paddle-gonflable-x-fun-option-kayak-pack-complet-320x82x15cm-7421094522637,37900,7421094522637,True
Simple Paddle,3700998928627,https://e-leclerc.scene7.com/is/image/gtinternet/3700998928627_7;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928627_1;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928627_2;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928627_3;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928627_4;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928627_5;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928627_6,Stand UP Paddle Gonflable PLANET 9' Bleu 274 x 76 x 15 cm,74990,materiel-d-equitation,https://www.e.leclerc//fp/stand-up-paddle-gonflable-planet-9-bleu-274-x-76-x-15-cm-3700998928627,30480,3700998928627,True
Simple Paddle,3700998902405,https://e-leclerc.scene7.com/is/image/gtinternet/3700998902405_7;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902405_1;https://e-leclerc.scene7.com/is/image/gtinternet/3700998919229_2;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902405_3;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902399_4;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902405_5;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902405_6,Stand UP Paddle Gonflable S2 10'2 Bleu 310 x 76 x 13 cm,69900,materiel-d-equitation,https://www.e.leclerc//fp/stand-up-paddle-gonflable-s2-10-2-bleu-310-x-76-x-13-cm-3700998902405,35480,3700998902405,True
Fusion,3700998922106,https://e-leclerc.scene7.com/is/image/gtinternet/3700998922106_2;https://e-leclerc.scene7.com/is/image/gtinternet/3700998922106_1;https://e-leclerc.scene7.com/is/image/gtinternet/3700998922106_3;https://e-leclerc.scene7.com/is/image/gtinternet/3700998922106_4;https://e-leclerc.scene7.com/is/image/gtinternet/3700998922106_5;https://e-leclerc.scene7.com/is/image/gtinternet/3700998922106_6,Stand UP Paddle Gonflable RACE 12'6 Bleu 384 x 71 x 15 cm,100990,materiel-d-equitation,https://www.e.leclerc//fp/stand-up-paddle-gonflable-race-12-6-bleu-384-x-71-x-15-cm-3700998922106,38480,3700998922106,True
X-paddleboards,7421087557745,https://e-leclerc.scene7.com/is/image/gtinternet/7421087558063_2;https://e-leclerc.scene7.com/is/image/gtinternet/7421087557745_1;https://e-leclerc.scene7.com/is/image/gtinternet/7421087558063_3;https://e-leclerc.scene7.com/is/image/gtinternet/7421087558063_4;https://e-leclerc.scene7.com/is/image/gtinternet/7421087558063_5;https://e-leclerc.scene7.com/is/image/gtinternet/7421087558063_6;https://e-leclerc.scene7.com/is/image/gtinternet/7421087558063_7,Paddle gonflable X-Shark pack complet 320x82x15cm,57900,materiel-d-equitation,https://www.e.leclerc//fp/paddle-gonflable-x-shark-pack-complet-320x82x15cm-7421087557745,39900,7421087557745,True
Rohe,3700994528883,https://e-leclerc.scene7.com/is/image/gtinternet/3700994528883_2;https://e-leclerc.scene7.com/is/image/gtinternet/3700994528883_1;https://e-leclerc.scene7.com/is/image/gtinternet/3700994528883_3;https://e-leclerc.scene7.com/is/image/gtinternet/3700994528883_4;https://e-leclerc.scene7.com/is/image/gtinternet/3700994528883_5,Stand UP Paddle Gonflable INDIANA GREEN 10'6 Vert 320 x 76 x 15 cm,69900,materiel-d-equitation,https://www.e.leclerc//fp/stand-up-paddle-gonflable-indiana-green-10-6-vert-320-x-76-x-15-cm-3700994528883,32990,3700994528883,True
Devessport,8436039860513,https://e-leclerc.scene7.com/is/image/gtinternet/8436039860513_1,Pagaie télescopique pour enfants,2799,materiel-d-equitation,https://www.e.leclerc//fp/pagaie-telescopique-pour-enfants-8436039860513,3799,8436039860513,True
Simple Paddle,3700998902399,https://e-leclerc.scene7.com/is/image/gtinternet/3700998902399_7;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902399_1;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902399_2;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902399_3;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902399_4;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902399_5;https://e-leclerc.scene7.com/is/image/gtinternet/3700998902399_6,Stand UP Paddle Gonflable M 10'6 Bleu 323 x 76 x 13 cm,75900,materiel-d-equitation,https://www.e.leclerc//fp/stand-up-paddle-gonflable-m-10-6-bleu-323-x-76-x-13-cm-3700998902399,33480,3700998902399,True
X-paddleboards,7421087558117,https://e-leclerc.scene7.com/is/image/gtinternet/7421087558025_1;https://e-leclerc.scene7.com/is/image/gtinternet/7421087558117_1;https://e-leclerc.scene7.com/is/image/gtinternet/7421087558025_2;https://e-leclerc.scene7.com/is/image/gtinternet/7421087558025_3;https://e-leclerc.scene7.com/is/image/gtinternet/7421087558025_4,Paddle gonflable X-Ite option layak pack complet 335 x 84 x 15cm,51900,materiel-d-equitation,https://www.e.leclerc//fp/paddle-gonflable-x-ite-option-layak-pack-complet-335-x-84-x-15cm-7421087558117,37900,7421087558117,True
Fusion,3700998928573,https://e-leclerc.scene7.com/is/image/gtinternet/3700998928573_6;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928573_1;https://e-leclerc.scene7.com/is/image/gtinternet/3700998919274_2;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928573_3;https://e-leclerc.scene7.com/is/image/gtinternet/3700998922106_4;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928573_5;https://e-leclerc.scene7.com/is/image/gtinternet/3700998928573_7,Stand UP Paddle Gonflable NERO 9' Bleu 274 x 79 x 13 cm,72900,materiel-d-equitation,https://www.e.leclerc//fp/stand-up-paddle-gonflable-nero-9-bleu-274-x-79-x-13-cm-3700998928573,28480,3700998928573,True
