brand,ean,image_url,name,original_price,product_category,product_page_url,sale_price,sku,stock
Wolkensturmer,4033523115049,https://e-leclerc.scene7.com/is/image/gtinternet/4033523115049_1,PARAFLEX QUAD,20400,materiel-d-equitation,https://www.e.leclerc//fp/paraflex-quad-4033523115049,20400,4033523115049,True
Wolkensturmer,4033523115056,https://e-leclerc.scene7.com/is/image/gtinternet/4033523115056_1,PARAFLEX QUAD,25391,materiel-d-equitation,https://www.e.leclerc//fp/paraflex-quad-4033523115056,25391,4033523115056,True
Wolkensturmer,4033523111232,https://e-leclerc.scene7.com/is/image/gtinternet/4033523111232_2;https://e-leclerc.scene7.com/is/image/gtinternet/4033523111232_1;https://e-leclerc.scene7.com/is/image/gtinternet/4033523111232_3,PARAFLEX BASIC 1.2 - Prêt à voler - 120 cm d'envergure - Bleu,3599,materiel-d-equitation,https://www.e.leclerc//fp/paraflex-basic-12-pret-a-voler-120-cm-d-envergure-bleu-4033523111232,4189,4033523111232,True
Wolkensturmer,4033523113540,https://e-leclerc.scene7.com/is/image/gtinternet/4033523113540_1,Aile de traction Paraflex 2.3 - 3 lignes,15300,materiel-d-equitation,https://www.e.leclerc//fp/aile-de-traction-paraflex-23-3-lignes-4033523113540,15300,4033523113540,True
Wolkensturmer,4033523113472,https://e-leclerc.scene7.com/is/image/gtinternet/4033523113472_2;https://e-leclerc.scene7.com/is/image/gtinternet/4033523113465_1;https://e-leclerc.scene7.com/is/image/gtinternet/4033523113472_3,Aile de traction Paraflex 1.7 - 2 lignes - Arc en ciel,7400,materiel-d-equitation,https://www.e.leclerc//fp/aile-de-traction-paraflex-17-2-lignes-arc-en-ciel-4033523113472,7400,4033523113472,True
Wolkensturmer,4033523115674,https://e-leclerc.scene7.com/is/image/gtinternet/4033523115674_2;https://e-leclerc.scene7.com/is/image/gtinternet/4033523115674_1,PARAFLEX BASIC 1.2 - Prêt à voler - 120 cm d'envergure - Vert,5500,materiel-d-equitation,https://www.e.leclerc//fp/paraflex-basic-12-pret-a-voler-120-cm-d-envergure-vert-4033523115674,5500,4033523115674,True
HQ4,4031169262806,https://e-leclerc.scene7.com/is/image/gtinternet/4031169262905_2;https://e-leclerc.scene7.com/is/image/gtinternet/4031169262806_1;https://e-leclerc.scene7.com/is/image/gtinternet/4031169262806_3;https://e-leclerc.scene7.com/is/image/gtinternet/4031169262905_2,Kite Surf- Ailes de traction 2 lignes sur barre - HQ4-  Fluxx  - Disponible en plusieurs tailles,13998,materiel-d-equitation,https://www.e.leclerc//fp/kite-surf-ailes-de-traction-2-lignes-sur-barre-hq4-fluxx-disponible-en-plusieurs-tailles-4031169262806,13998,4031169262806,True
ELLIOT,4041642124859,https://e-leclerc.scene7.com/is/image/gtinternet/4041642125146_1,Lineset Cerf-volant Dyneema - 4 lignes  -  Elliot- 100+100 kg/ 20 mètres,16200,materiel-d-equitation,https://www.e.leclerc//fp/lineset-cerf-volant-dyneema-4-lignes-elliot-100100-kg-20-metres-4041642124859,16200,4041642124859,True
HQ4,4031169309808,https://e-leclerc.scene7.com/is/image/gtinternet/4031169309907_2;https://e-leclerc.scene7.com/is/image/gtinternet/4031169309808_1;https://e-leclerc.scene7.com/is/image/gtinternet/4031169309907_3;https://e-leclerc.scene7.com/is/image/gtinternet/4031169309808_4;https://e-leclerc.scene7.com/is/image/gtinternet/4031169309808_5,Barre de Kite-surf - HQ - Depower one barre 2.2 (avec lignes),45000,materiel-d-equitation,https://www.e.leclerc//fp/barre-de-kite-surf-hq-depower-one-barre-22-avec-lignes-4031169309808,45000,4031169309808,True
HQ4,4031169263407,https://e-leclerc.scene7.com/is/image/gtinternet/4031169263407_2;https://e-leclerc.scene7.com/is/image/gtinternet/4031169263407_1;https://e-leclerc.scene7.com/is/image/gtinternet/4031169263605_2,Kite Surf-  Ailes de Traction 3 lignes sur barre-  HQ4-   Rush Pro  - Disponible en plusieurs tailles,25999,materiel-d-equitation,https://www.e.leclerc//fp/kite-surf-ailes-de-traction-3-lignes-sur-barre-hq4-rush-pro-disponible-en-plusieurs-tailles-4031169263407,25999,4031169263407,True
Wolkensturmer,4033523115322,https://e-leclerc.scene7.com/is/image/gtinternet/4033523115322_2;https://e-leclerc.scene7.com/is/image/gtinternet/4033523115322_1;https://e-leclerc.scene7.com/is/image/gtinternet/4033523115322_3;https://e-leclerc.scene7.com/is/image/gtinternet/4033523115322_4;https://e-leclerc.scene7.com/is/image/gtinternet/4033523115322_5,PARAFLEX SE 2.1 - Prêt à voler - 210 cm d'envergure,8499,materiel-d-equitation,https://www.e.leclerc//fp/paraflex-se-21-pret-a-voler-210-cm-d-envergure-4033523115322,9089,4033523115322,True
HQ4,4031169262202,https://e-leclerc.scene7.com/is/image/gtinternet/4031169262202_2;https://e-leclerc.scene7.com/is/image/gtinternet/4031169262202_1;https://e-leclerc.scene7.com/is/image/gtinternet/4031169262301_3;https://e-leclerc.scene7.com/is/image/gtinternet/4031169262301_4;https://e-leclerc.scene7.com/is/image/gtinternet/4031169262202_2,Kite surf-  Ailes de traction 4 lignes sur poignée - HQ4-  Beamer VI -  Disponible en plusieurs tailles,43241,materiel-d-equitation,https://www.e.leclerc//fp/kite-surf-ailes-de-traction-4-lignes-sur-poignee-hq4-beamer-vi-disponible-en-plusieurs-tailles-4031169262202,43241,4031169262202,True
ELLIOT,4041642124903,https://e-leclerc.scene7.com/is/image/gtinternet/4041642125146_1,Lineset Cerf-volant Dyneema - 4 lignes  -  Elliot- 200+100 kg/ 20 mètres,5880,materiel-d-equitation,https://www.e.leclerc//fp/lineset-cerf-volant-dyneema-4-lignes-elliot-200100-kg-20-metres-4041642124903,6470,4041642124903,True
